Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;12064;Märkisch-Oderland;14;11;3;11;3;-;
;;12069;Potsdam-Mittelmark;17;14;3;17;-;*;
;;120;Übrige Kreise (Regierungsbezirk);50;40;10;*;*;-;
;;120;Brandenburg;91;70;21;86;5;*;
;;12;Brandenburg;91;70;21;86;5;*;
;;13075;Vorpommern-Greifswald;50;8;42;*;*;-;
;;130;Übrige Kreise (Regierungsbezirk);21;17;4;18;3;-;
;;130;Mecklenburg-Vorpommern;71;25;46;67;4;-;
;;13;Mecklenburg-Vorpommern;71;25;46;67;4;-;
;;14511;Chemnitz, Stadt;226;140;86;218;8;6;
;;14521;Erzgebirgskreis;40;29;11;40;-;-;
;;14522;Mittelsachsen;50;31;19;*;*;*;
;;14523;Vogtlandkreis;114;67;47;107;7;5;
;;14524;Zwickau;759;522;237;750;9;18;
;;14612;Dresden, Stadt;118;74;44;*;*;5;
;;14625;Bautzen;34;19;15;*;*;-;
;;14627;Meißen;43;24;19;43;-;-;
;;14628;Sächs. Schweiz-Osterzgebirge;12;9;3;12;-;-;
;;14713;Leipzig, Stadt;403;266;137;360;43;22;
;;14729;Leipzig;62;38;24;59;3;*;
;;14730;Nordsachsen;47;29;18;*;*;*;
;;140;Übrige Kreise (Regierungsbezirk);*;*;*;*;*;-;
;;140;Sachsen;1,909;1,248;661;1,833;76;60;
;;14;Sachsen;1,909;1,248;661;1,833;76;60;
;;15002;Halle (Saale), Stadt;37;19;18;37;-;-;
;;15003;Magdeburg, Landeshauptstadt;24;13;11;24;-;-;
;;15082;Anhalt-Bitterfeld;11;*;*;*;*;-;
;;15084;Burgenlandkreis;345;224;121;335;10;9;
;;15085;Harz;11;11;-;11;-;-;
;;15088;Saalekreis;63;28;35;*;*;-;
;;150;Übrige Kreise (Regierungsbezirk);26;18;8;*;*;-;
;;150;Sachsen-Anhalt;517;322;195;504;13;9;
;;15;Sachsen-Anhalt;517;322;195;504;13;9;
