Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
70	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:55	15:32:57	15:32:57	15:32:57	15:32:57	15:32:57	15:32:57	15:32:57	15:32:57	15:32:58	15:32:58		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
71	15:32:58	15:32:58	15:32:58	15:32:58	15:32:58	15:32:58			15:32:58	15:32:58	15:33:00	15:33:00	15:33:00	15:33:00	15:33:00	15:33:00			15:33:01	15:33:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
72	15:33:01	15:33:01	15:33:01	15:33:01	15:33:01	15:33:01			15:33:01	15:33:01	15:33:03	15:33:03	15:33:03	15:33:03	15:33:03	15:33:03			15:33:04	15:33:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
73	15:33:04	15:33:04	15:33:04	15:33:04	15:33:04	15:33:04			15:33:04	15:33:04	15:33:05	15:33:05	15:33:05	15:33:05	15:33:05	15:33:05			15:33:06	15:33:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
74	15:33:07	15:33:07	15:33:07	15:33:07	15:33:07	15:33:07			15:33:07	15:33:07	15:33:08	15:33:08	15:33:08	15:33:08	15:33:08	15:33:08			15:33:09	15:33:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
75	15:33:09	15:33:09	15:33:09	15:33:09	15:33:09	15:33:09			15:33:09	15:33:09	15:33:11	15:33:11	15:33:11	15:33:11	15:33:11	15:33:11			15:33:12	15:33:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
76	15:33:12	15:33:12	15:33:12	15:33:12	15:33:12	15:33:12			15:33:12	15:33:12	15:33:14	15:33:14	15:33:14	15:33:14	15:33:14	15:33:14			15:33:15	15:33:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
77	15:33:15	15:33:15	15:33:15	15:33:15	15:33:15	15:33:15			15:33:15	15:33:15	15:33:17	15:33:17	15:33:17	15:33:17	15:33:17	15:33:17			15:33:18	15:33:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
78	15:33:18	15:33:18	15:33:18	15:33:18	15:33:18	15:33:18			15:33:18	15:33:18	15:33:20	15:33:20	15:33:20	15:33:20	15:33:20	15:33:20			15:33:20	15:33:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
79	15:33:21	15:33:21	15:33:21	15:33:21	15:33:21	15:33:21			15:33:21	15:33:21	15:33:22	15:33:22	15:33:22	15:33:22	15:33:22	15:33:22			15:33:23	15:33:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
